,Period,PREVISION,E_SIMEL,DESVIO,f_PREV_HIGH,f_RUN,Dia_Semana,Es_fin_semana,Año,Mes,Día
25018,1,0.0,0.0,0.0,0,0,2,0,2023,11,14
25019,2,0.0,0.0,0.0,0,0,2,0,2023,11,14
25020,3,0.0,0.0,0.0,0,0,2,0,2023,11,14
25021,4,0.0,0.0,0.0,0,0,2,0,2023,11,14
25022,5,0.0,0.0,0.0,0,0,2,0,2023,11,14
25023,6,0.0,0.0,0.0,0,0,2,0,2023,11,14
25024,7,0.0,0.0,0.0,0,0,2,0,2023,11,14
25025,8,0.0,0.0,0.0,0,0,2,0,2023,11,14
25026,9,0.0,0.0,0.0,0,0,2,0,2023,11,14
25027,10,0.0,0.0,0.0,0,0,2,0,2023,11,14
25028,11,0.0,0.0,0.0,0,0,2,0,2023,11,14
25029,12,0.0,0.0,0.0,0,0,2,0,2023,11,14
25030,13,11.0,0.0,11.0,1,0,2,0,2023,11,14
25031,14,15.0,8.084,6.916,1,1,2,0,2023,11,14
25032,15,21.1,22.147,-1.046999999999997,0,1,2,0,2023,11,14
25033,16,27.0,29.45,-2.4499999999999993,0,1,2,0,2023,11,14
25034,17,30.0,32.234,-2.2340000000000018,0,1,2,0,2023,11,14
25035,18,16.4,17.723,-1.3230000000000004,0,1,2,0,2023,11,14
25036,19,0.0,2.663,-2.663,0,1,2,0,2023,11,14
25037,20,0.0,0.0,0.0,0,0,2,0,2023,11,14
25038,21,0.0,0.0,0.0,0,0,2,0,2023,11,14
25039,22,0.0,0.0,0.0,0,0,2,0,2023,11,14
25040,23,0.0,0.0,0.0,0,0,2,0,2023,11,14
25041,24,0.0,0.0,0.0,0,0,2,0,2023,11,14
